"","method","mse","time","ntree"
"1","BART",5.04958405248594,3.55290794372559,10
"2","Random Forest",4.8868530397862,0.100372314453125,10
"3","Boosting",7.3942291266047,0.0310049057006836,10
"4","Bagging",5.0890703592894,0.244297742843628,10
"5","BART",4.69622098535771,8.42518448829651,50
"6","Random Forest",4.61367002588708,0.525455236434937,50
"7","Boosting",5.84663797803459,0.0479726791381836,50
"8","Bagging",4.61781526817722,1.48165678977966,50
"9","BART",4.57574656081955,15.5672974586487,100
"10","Random Forest",4.57601995399915,0.992615699768066,100
"11","Boosting",5.4447080026177,0.0632150173187256,100
"12","Bagging",4.60992078204617,2.55605292320251,100
"13","BART",4.51399733789341,28.4649024009705,200
"14","Random Forest",4.56918476222364,2.03212428092957,200
"15","Boosting",5.10839503488929,0.100826025009155,200
"16","Bagging",4.5980402729642,5.13552761077881,200
"17","BART",4.45445529044472,66.7416031360626,500
"18","Random Forest",4.53106907575125,4.73966717720032,500
"19","Boosting",4.86507100101501,0.219660520553589,500
"20","Bagging",4.54231983579437,12.3562660217285,500
"21","BART",4.45459544276338,136.545809268951,1000
"22","Random Forest",4.52112454777483,10.6170773506165,1000
"23","Boosting",4.83690038311315,0.480654239654541,1000
"24","Bagging",4.52781781475254,26.4204394817352,1000
"25","BART",4.46538413468796,290.64954161644,2000
"26","Random Forest",4.53370129123352,20.4646732807159,2000
"27","Boosting",4.77907936137054,0.855601072311401,2000
"28","Bagging",4.53487351259185,57.4704909324646,2000
"29","BART",4.47896762948484,716.414644956589,5000
"30","Random Forest",4.52826912526861,47.7026221752167,5000
"31","Boosting",4.83065924061803,2.02517056465149,5000
"32","Bagging",4.53594137552706,127.426518201828,5000
